id,level,need_solver,elimination_time,time_spent
1,easy,0,11,0.010671
2,easy,0,8,0.008045
3,easy,0,6,0.005515
4,medium,1,2,0.032273
5,easy,0,11,0.008817
6,medium,0,8,0.006717
7,medium,0,17,0.012153
8,hard,1,1,0.089488
9,hard,1,1,0.023687
10,hard,1,1,0.051888
11,medium,0,5,0.004931
12,medium,1,7,0.032372
13,extremely hard,1,1,1.42873
14,hardest ever,1,1,44.911405
15,easy,0,12,0.010261
16,easy,1,5,0.01734
17,medium,1,8,0.016763
18,medium,1,2,0.0269
19,easy,0,18,0.012733
20,easy,0,4,0.00426
21,hard,0,11,0.009277
22,medium,0,7,0.006175
23,medium,0,9,0.007448
24,hard,0,10,0.008039
25,hard,1,8,0.019123
26,medium,0,9,0.00747
